R J Hill Laboratories Ltd,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,
File Format:,SSFC1.1,,,,,,,,,,
Laboratory Job Number:,3194448,,,,,,,,,,
Report Version:,1,,,,,,,,,,
Interim:,No,,,,,,,,,,
Cancelled:,No,,,,,,,,,,
Amendment:,No,,,,,,,,,,
AmendmentNotes:,,,,,,,,,,,
Date Registered:,8/03/2023 14:48,,,,,,,,,,
File Creation Date:,24/03/2023 10:29,,,,,,,,,,
Primary Contact Name:,D Lohrer,,,,,,,,,,
Primary Contact Address:,"C/- NIWA Corporate, PO Box 11115, Hillcrest, Hamilton 3251",,,,,,,,,,
Submitter Name:,D Lohrer,,,,,,,,,,
Submitter Address:,"C/- NIWA Corporate, PO Box 11115, Hillcrest, Hamilton 3251",,,,,,,,,,
Client Name:,NIWA Corporate,,,,,,,,,,
Client Address:,"PO Box 11115, Hillcrest, Hamilton 3251",,,,,,,,,,
Charging Name:,NIWA Head Office,,,,,,,,,,
Charging Address:,"Private Bag 99940, Newmarket, Auckland 1149",,,,,,,,,,
Quote Number:,121431,,,,,,,,,,
Client Order Number:,U321471,,,,,,,,,,
Client Reference:,Antarctic samples,,,,,,,,,,
Additional Client Reference:,,,,,,,,,,,
Analyst Comments:,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,
Note: The results contained within this file are not to be considered as final.,,,,,,,,,,,
"      Official confirmation of results will be in the form of a final signed report, either in printed or electronic format.",,,,,,,,,,,
--------------------------------------,,,,,,,,,,,
PCB-81,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-86,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-101,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0034,0.02,0.0016
PCB-105,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0018,0.0119,0.0008
PCB-110,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0028,0.0147,0.0014
PCB-114,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0007,< 0.0007
PCB-118,mg/kg,0.0006,0.0005,0.0006,0.0006,0.0008,< 0.0008,< 0.0007,0.0042,0.028,0.002
PCB-121,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-123,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-126,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-128,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0011,0.0066,< 0.0007
PCB-138,mg/kg,0.0009,0.0011,0.0009,0.001,0.0015,< 0.0008,< 0.0007,0.0049,0.029,0.002
PCB-141,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0037,< 0.0007
PCB-149,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0021,0.011,0.0009
PCB-151,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0024,< 0.0007
PCB-153,mg/kg,0.0006,0.0007,0.0006,0.0007,0.001,< 0.0008,< 0.0007,0.0032,0.0174,0.0013
PCB-156,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0008,0.0041,< 0.0007
PCB-157,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.001,< 0.0007
PCB-159,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-167,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0014,< 0.0007
PCB-169,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-170,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0029,< 0.0007
PCB-180,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0009,0.0045,< 0.0007
PCB-189,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-194,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-206,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-209,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
Total PCB (Sum of 35 congeners),mg/kg,< 0.02,< 0.02,< 0.02,< 0.02,< 0.02,< 0.03,< 0.03,0.03,0.17,< 0.03
