species,type,unit,ANZ21201--SB2-1--Sphaerotylus--3194448.1,ANZ21201--SB2-2--Sphaerotylus--3194448.2,ANZ21201--SB2-3--Sphaerotylus--3194448.3,ANZ21201--SB2-4--Sphaerotylus--3194448.4,ANZ21201--SB2-5--Sphaerotylus--3194448.5,ANZ21201--SB2-1--Laternula--3194448.6,ANZ21201--SB2-2--Laternula--3194448.7,ANZ21201--SB2-3--Laternula--3194448.8,ANZ21201--SB2-4--Laternula--3194448.9,ANZ21201--SB2-5--Laternula--3194448.1
PCB-126,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-128,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0011,0.0066,< 0.0007
PCB-138,Polychlorinated biphenyls in Biomatter,mg/kg,0.0009,0.0011,0.0009,0.001,0.0015,< 0.0008,< 0.0007,0.0049,0.029,0.002
PCB-141,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0037,< 0.0007
PCB-149,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0021,0.011,0.0009
PCB-151,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0024,< 0.0007
PCB-153,Polychlorinated biphenyls in Biomatter,mg/kg,0.0006,0.0007,0.0006,0.0007,0.001,< 0.0008,< 0.0007,0.0032,0.0174,0.0013
PCB-156,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0008,0.0041,< 0.0007
PCB-157,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.001,< 0.0007
PCB-159,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-167,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0014,< 0.0007
PCB-169,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-170,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,0.0029,< 0.0007
PCB-180,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,0.0009,0.0045,< 0.0007
PCB-189,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-194,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-206,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
PCB-209,Polychlorinated biphenyls in Biomatter,mg/kg,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0005,< 0.0008,< 0.0007,< 0.0007,< 0.0007,< 0.0007
