time,latitude (degree_north),longitude (degree_east),sea_water_pressure (dbar),sea_water_absolute_salinity (g kg-1),sea_water_conservative_temperature (degree_C)
2022-04-16T20:00:00Z,-80.6582833,174.4613,616.1489581745368,34.91536633297454,-1.937677101297756
2022-04-16T20:30:00Z,-80.6582833,174.4613,616.1486710134112,34.9153641393654,-1.9376844797913788
2022-04-16T21:00:00Z,-80.6582833,174.4613,616.1483787778742,34.91536197937592,-1.93769185612798
2022-04-16T21:30:00Z,-80.6582833,174.4613,616.1480832827431,34.91535986127112,-1.9376992294697728
2022-04-16T22:00:00Z,-80.6582833,174.4613,616.1477863655648,34.91535779288092,-1.937706598793929
2022-04-16T22:30:00Z,-80.6582833,174.4613,616.1474898786612,34.91535578155809,-1.937713962893684
2022-04-16T23:00:00Z,-80.6582833,174.4613,616.1471956811115,34.91535383413884,-1.93772132038116
2022-04-16T23:30:00Z,-80.6582833,174.4613,616.1469056307011,34.915351956906115,-1.9377286696917988
2022-04-17T00:00:00Z,-80.6582833,174.4613,616.1466215758685,34.91535015555592,-1.937736009090304
2022-04-17T00:30:00Z,-80.6582833,174.4613,616.1463453476852,34.91534843516672,-1.937743336677981
2022-04-17T01:00:00Z,-80.6582833,174.4613,616.1460787519002,34.91534680017233,-1.937750650401342
2022-04-17T01:30:00Z,-80.6582833,174.4613,616.1458235610817,34.91534525433826,-1.9377579480618483
2022-04-17T02:00:00Z,-80.6582833,174.4613,616.1455815068884,34.91534380074182,-1.9377652273266448
2022-04-17T02:30:00Z,-80.6582833,174.4613,616.1453542725051,34.915342441755904,-1.9377724857401435
2022-04-17T03:00:00Z,-80.6582833,174.4613,616.1451434852681,34.91534117903692,-1.937779720736292
2022-04-17T03:30:00Z,-80.6582833,174.4613,616.1449507095211,34.91534001351663,-1.9377869296513928
2022-04-17T04:00:00Z,-80.6582833,174.4613,616.1447774397222,34.915338945398105,-1.937794109737294
2022-04-17T04:30:00Z,-80.6582833,174.4613,616.1446250938384,34.91533797415594,-1.937801258174804
2022-04-17T05:00:00Z,-80.6582833,174.4613,616.1444950070529,34.91533709854056,-1.93780837208717
2022-04-17T05:30:00Z,-80.6582833,174.4613,616.1443884258135,34.915336316586846,-1.9378154485534675
2022-04-17T06:00:00Z,-80.6582833,174.4613,616.1443065022479,34.915335625626824,-1.937822484621731
2022-04-17T06:30:00Z,-80.6582833,174.4613,616.1442502889711,34.91533502230672,-1.937829477321694
2022-04-17T07:00:00Z,-80.6582833,174.4613,616.1442207343063,34.9153345026079,-1.9378364236769845
2022-04-17T07:30:00Z,-80.6582833,174.4613,616.1442186779441,34.915334061871974,-1.9378433207166377
2022-04-17T08:00:00Z,-80.6582833,174.4613,616.1442448470559,34.91533369482978,-1.9378501654858027
2022-04-17T08:30:00Z,-80.6582833,174.4613,616.144299852883,34.91533339563421,-1.937856955055516
2022-04-17T09:00:00Z,-80.6582833,174.4613,616.1443841878137,34.915333157896534,-1.9378636865314325
2022-04-17T09:30:00Z,-80.6582833,174.4613,616.1444982229651,34.915332974726425,-1.9378703570614173
2022-04-17T10:00:00Z,-80.6582833,174.4613,616.1446422062811,34.91533283877506,-1.9378769638419109
2022-04-17T10:30:00Z,-80.6582833,174.4613,616.1448162611553,34.91533274228144,-1.9378835041229712
2022-04-17T11:00:00Z,-80.6582833,174.4613,616.1450203855844,34.915332677121455,-1.9378899752119567
2022-04-17T11:30:00Z,-80.6582833,174.4613,616.1452544518629,34.91533263485964,-1.9378963744757745
2022-04-17T12:00:00Z,-80.6582833,174.4613,616.1455182068153,34.91533260680315,-1.937902699341672
2022-04-17T12:30:00Z,-80.6582833,174.4613,616.145811272569,34.91533258405791,-1.9379089472965365
2022-04-17T13:00:00Z,-80.6582833,174.4613,616.1461331478681,34.91533255758639,-1.9379151158847088
2022-04-17T13:30:00Z,-80.6582833,174.4613,616.1464832099188,34.91533251826695,-1.937921202704301
2022-04-17T14:00:00Z,-80.6582833,174.4613,616.1468607167635,34.91533245695422,-1.9379272054020489
2022-04-17T14:30:00Z,-80.6582833,174.4613,616.1472648101728,34.91533236454028,-1.937933121666732
2022-04-17T15:00:00Z,-80.6582833,174.4613,616.147694519044,34.915332232016354,-1.937938949221209
2022-04-17T15:30:00Z,-80.6582833,174.4613,616.1481487632914,34.91533205053461,-1.9379446858131304
2022-04-17T16:00:00Z,-80.6582833,174.4613,616.1486263582142,34.915331811469606,-1.9379503292044096
2022-04-17T16:30:00Z,-80.6582833,174.4613,616.1491260193213,34.915331506479305,-1.9379558771595504
2022-04-17T17:00:00Z,-80.6582833,174.4613,616.1496463675942,34.91533112756504,-1.9379613274329168
2022-04-17T17:30:00Z,-80.6582833,174.4613,616.1501859351631,34.91533066713018,-1.9379666777550784
2022-04-17T18:00:00Z,-80.6582833,174.4613,616.1507431713744,34.91533011803716,-1.9379719258183536
2022-04-17T18:30:00Z,-80.6582833,174.4613,616.1513164492206,34.915329473662595,-1.9379770692616949
2022-04-17T19:00:00Z,-80.6582833,174.4613,616.1519040721059,34.9153287279498,-1.9379821056550512
2022-04-17T19:30:00Z,-80.6582833,174.4613,616.1525042809155,34.91532787545896,-1.9379870324833848
2022-04-17T20:00:00Z,-80.6582833,174.4613,616.1531152613601,34.915326911414034,-1.937991847130484
2022-04-17T20:30:00Z,-80.6582833,174.4613,616.1537351515586,34.915325831746514,-1.9379965468627465
2022-04-17T21:00:00Z,-80.6582833,174.4613,616.1543620498292,34.91532463313543,-1.938001128813128
2022-04-17T21:30:00Z,-80.6582833,174.4613,616.1549940226499,34.915323313043714,-1.9380055899654047
2022-04-17T22:00:00Z,-80.6582833,174.4613,616.1556291127537,34.91532186975008,-1.938009927138964
2022-04-17T22:30:00Z,-80.6582833,174.4613,616.156265347322,34.91532030237684,-1.9380141369742736
2022-04-17T23:00:00Z,-80.6582833,174.4613,616.1569007462372,34.91531861091288,-1.9380182159192565
2022-04-17T23:30:00Z,-80.6582833,174.4613,616.157533330357,34.91531679623192,-1.938022160216711
2022-04-18T00:00:00Z,-80.6582833,174.4613,616.1581611297715,34.91531486010578,-1.9380259658929784
2022-04-18T00:30:00Z,-80.6582833,174.4613,616.1587821920075,34.91531280521252,-1.9380296287480223
2022-04-18T01:00:00Z,-80.6582833,174.4613,616.1593945901348,34.91531063513924,-1.938033144347088
2022-04-18T01:30:00Z,-80.6582833,174.4613,616.1599964307447,34.91530835437956,-1.9380365080141029
2022-04-18T02:00:00Z,-80.6582833,174.4613,616.1605858617571,34.91530596832571,-1.9380397148269743
2022-04-18T02:30:00Z,-80.6582833,174.4613,616.1611610800212,34.915303483255094,-1.9380427596149248
2022-04-18T03:00:00Z,-80.6582833,174.4613,616.1617203386743,34.91530090631133,-1.938045636957995
2022-04-18T03:30:00Z,-80.6582833,174.4613,616.1622619542209,34.915298245479946,-1.9380483411888485
2022-04-18T04:00:00Z,-80.6582833,174.4613,616.1627843133017,34.91529550955853,-1.9380508663969755
2022-04-18T04:30:00Z,-80.6582833,174.4613,616.1632858791163,34.915292708121655,-1.938053206435394
2022-04-18T05:00:00Z,-80.6582833,174.4613,616.1637651974704,34.915289851480466,-1.9380553549299304
2022-04-18T05:30:00Z,-80.6582833,174.4613,616.1642209024167,34.91528695063731,-1.9380573052911405
2022-04-18T06:00:00Z,-80.6582833,174.4613,616.1646517214627,34.91528401723535,-1.93805905072892
2022-04-18T06:30:00Z,-80.6582833,174.4613,616.1650564803199,34.91528106350354,-1.9380605842698293
2022-04-18T07:00:00Z,-80.6582833,174.4613,616.1654341071678,34.91527810219705,-1.9380618987771607
2022-04-18T07:30:00Z,-80.6582833,174.4613,616.1657836364152,34.91527514653352,-1.9380629869737176
2022-04-18T08:00:00Z,-80.6582833,174.4613,616.166104211936,34.91527221012538,-1.9380638414673017
2022-04-18T08:30:00Z,-80.6582833,174.4613,616.1663950897662,34.915269306908456,-1.938064454778854
2022-04-18T09:00:00Z,-80.6582833,174.4613,616.1666556402436,34.9152664510674,-1.938064819373181
2022-04-18T09:30:00Z,-80.6582833,174.4613,616.1668853495828,34.91526365695803,-1.9380649276921864
