time,latitude (degree_north),longitude (degree_east),sea_water_pressure (dbar),sea_water_absolute_salinity (g kg-1),sea_water_conservative_temperature (degree_C)
2022-03-07 18:00:00+00:00,-80.6582833,174.4613,415.92105356768286,34.81243270727521,-2.088519253656213
2022-03-07 18:30:00+00:00,-80.6582833,174.4613,415.92294100691225,34.81259216878375,-2.088336791775536
2022-03-07 19:00:00+00:00,-80.6582833,174.4613,415.92478465884096,34.81274549624297,-2.08815567138835
2022-03-07 19:30:00+00:00,-80.6582833,174.4613,415.9265831068948,34.812892514859016,-2.08797615766548
2022-03-07 20:00:00+00:00,-80.6582833,174.4613,415.92833509997104,34.813033073216175,-2.087798495074571
2022-03-07 20:30:00+00:00,-80.6582833,174.4613,415.9300395529657,34.813167043688054,-2.087622905867015
2022-03-07 21:00:00+00:00,-80.6582833,174.4613,415.93169554657845,34.81329432274638,-2.087449588732175
2022-03-07 21:30:00+00:00,-80.6582833,174.4613,415.9333023264028,34.813414831166654,-2.08727871762618
2022-03-07 22:00:00+00:00,-80.6582833,174.4613,415.9348593013119,34.81352851413048,-2.0871104407814216
2022-03-07 22:30:00+00:00,-80.6582833,174.4613,415.9363660411525,34.81363534122468,-2.086944879901704
2022-03-07 23:00:00+00:00,-80.6582833,174.4613,415.9378222737644,34.81373530633773,-2.086782129546812
2022-03-07 23:30:00+00:00,-80.6582833,174.4613,415.93922788134336,34.813828427454865,-2.0866222567090222
2022-03-08 00:00:00+00:00,-80.6582833,174.4613,415.9405828961716,34.81391474635326,-2.0864653005828364
2022-03-08 00:30:00+00:00,-80.6582833,174.4613,415.94188749573766,34.813994328199485,-2.086311272528016
2022-03-08 01:00:00+00:00,-80.6582833,174.4613,415.9431419972772,34.81406726105162,-2.0861601562247607
2022-03-08 01:30:00+00:00,-80.6582833,174.4613,415.9443468517597,34.81413365526903,-2.086011908018655
2022-03-08 02:00:00+00:00,-80.6582833,174.4613,415.9455026373584,34.814193642833125,-2.0858664574518366
2022-03-08 02:30:00+00:00,-80.6582833,174.4613,415.9466100524339,34.81424737658274,-2.0857237079756623
2022-03-08 03:00:00+00:00,-80.6582833,174.4613,415.94766990806966,34.814295029368466,-2.085583537839049
